DOI,BC,NO2,PM10,PM2.5,O3,NOx,VOC,CO,SO2,AQI,ozone,NOX,NH3,AOD,VOCs,AQIPM2.5,AQINO2,BLSO2,PM,NO₂,PM2:5,NO,benzene,BBOA,HOA,OOA,O
https://doi.org/10.1007/s11869-020-00918-3,,"['-37.0', '-34.0']","['-18.0', '-40.5']","['-1.1', '-39.0']",,,,['-19.0'],"['-27.0', '-40.5', '-34.0', '-47.0']",,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141325,,"['-33.0', '-20.0']",,,['10.0'],['-29.0'],,"['-33.0', '-29.0', '-30.0']",,,,,,,,,,,,,,,,,,,
http://dx.doi.org/10.3390/ijerph17176208,,['-16.9'],,"['-10.4', '-36.9', '-47.4']",['47.0'],,,,,,,,,['-16.5'],,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.07.0376,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.140758,,,,"['-33.0', '-44.0']",,,,,,,,,,,,,,,,,,,,,,"['22.7', '21.9']",
https://doi.org/10.1016/j.scitotenv.2020.141025,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.06.0303,,,,,['18.0'],,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139658,['-45.4'],"['1.0', '-34.0', '-25.0', '-50.0', '-52.7']","['-33.5', '-20.0', '-60.0']","['-21.5', '-15.0', '-37.0', '-21.0']",['29.0'],['-52.0'],,"['-28.5', '-6.0', '-30.4', '-37.0', '-64.8']",['-21.0'],,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139542,,"['-53.0', '-30.0', '-65.0']","['-36.0', '-49.0']","['-60.0', '-36.0']","['25.5', '2.4', '29.0', '17.0']",['-56.0'],,,,,,,,,,,,,['-44.0'],,,"['-70.7', '-68.5', '-52.6', '-63.0', '-53.0', '-78.0']",,,,,
https://doi.org/10.1016/j.scitotenv.2020.141521,,"['-20.41', '-28.0', '-51.0']",['-35.56'],['-45.45'],,,,['-17.33'],,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141419,['-40.0'],,,['24.0'],,['-58.0'],,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141424,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.05.0225,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141320,,"['-33.7', '-43.0']",['-22.9'],['-21.8'],"['-21.8', '-22.9', '-12.5']",,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s10668-020-00933-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s11869-020-00937-0,,['-34.0'],,['30.0'],"['10.0', '5.0']",,,,"['168.0', '142.0', '135.0', '130.0', '117.0', '25.0', '23.0']",,"['10.0', '8.0']",,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.142374,,['-42.0'],,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.142526,,['-26.0'],,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s11869-020-00888-6,,['-36.7'],"['27.81', '-18.36', '-79.07', '-29.14', '-26.41']","['-1.1', '-38.98']",,,,['-19.28'],"['3.81', '-26.53']",,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.139864,,"['-25.5', '-47.0', '-55.0', '-30.0', '-26.0']",,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1029/2020GL089269,,"['-20.0', '-39.9', '0.6']",,,,,,,,,,,,,,,,,,,,,,,,,
https://dx.doi.org/10.1021/acs.estlett.0c00365?ref=pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141105,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.141012,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.140931,,['-30.0'],,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1029/2021JD034797,,,,,,['-48.0'],,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4209/aaqr.2020.06.0297,,,,,,,,,,"['45.0', '41.1', '61.5']",,,,,,,,,,,,,,,,,
https://doi.org/10.1029/2020GL087978,,['-30.0'],,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.142533,,,,,['18.5'],,,,,['18.5'],,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.envres.2020.109634,,,,"['-4.0', '-11.0']",,,,,,,,,,,,,,,,,,,,,,,
http://dx.doi.org/10.3390/ijerph17145067,['-63.6'],['-25.0'],,['-12.0'],,,,"['-40.0', '-63.6', '-53.6']",,,,,,,,,,,,,,,,,,,
https://doi.org/10.1038/s41558-020-0883-0,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1007/s11869-020-00842-6,,['-25.0'],,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.envpol.2020.115042,,,,"['-35.0', '-42.0']",,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.7927/H49C6VHW,,['-15.0'],,"['-4.7', '-31.0']","['105.0', '4.0']",,,,,,,,,,,,,,,,,,,,,,
http://dx.doi.org/10.3390/atmos11111189,,"['-51.6', '-36.4', '-46.4', '-37.8']",['-50.0'],['-31.3'],,,,['-26.2'],['-98.0'],['-44.0'],,,,,,,,,,,,,,,,,
http://dx.doi.org/10.3390/rs12152420,,"['-33.0', '-49.0', '-39.0']",,,,,,,,,,,,,,,,,,,,,,,,,
http://dx.doi.org/10.3390/ijerph17114119,,,,"['-29.9', '-20.9', '-3.6']",,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.140556,,,['-40.2'],['-36.9'],['116.6'],,,,,['-33.9'],,,,,,,,,,,,,,,,,
https://doi.org/10.1016/j.scitotenv.2020.140000,,['-55.6'],['-33.7'],['-37.0'],,,,,['-26.5'],,,,,,,,,,,,,,,,,,
